sleeper_id,sleeper_name,yahoo_id,yahoo_name,espn_id,espn_name,cbs_id,cbs_name,hashtag_id,hashtag_name,fantrax_id,fantrax_name,nba_id
1697,Ivica Zubac,5663,Ivica Zubac,4017837,Ivica Zubac,2245326,Ivica Zubac,10169,Ivica Zubac,'042nt,Ivica Zubac,1627826
1614,Tyus Jones,5484,Tyus Jones,3135046,Tyus Jones,2152376,Tyus Jones,9347,Tyus Jones,'03ad0,Tyus Jones,1626145
2573,Cam Whitmore,10118,Cam Whitmore,5105592,Cam Whitmore,28952054,Cam Whitmore,111216,Cam Whitmore,'06ca7,Cam Whitmore,1641715
2447,Tari Eason,6707,Tari Eason,4433192,Tari Eason,3178111,Tari Eason,38950,Tari Eason,'0621g,Tari Eason,1631106
1994,Mo Bamba,6017,Mo Bamba,4277919,Mo Bamba,2893236,Mo Bamba,15278,Mo Bamba,'049kf,Mo Bamba,
2159,Isaiah Stewart,6408,Isaiah Stewart,4432810,Isaiah Stewart,3142103,Isaiah Stewart,27622,Isaiah Stewart,'05qub,Isaiah Stewart,1630191
2165,Cole Anthony,6407,Cole Anthony,4432809,Cole Anthony,3142303,Cole Anthony,27590,Cole Anthony,'05qtl,Cole Anthony,1630175
1432,Steven Adams,5163,Steven Adams,2991235,Steven Adams,2067654,Steven Adams,9390,Steven Adams,'031lz,Steven Adams,203500
1637,Norman Powell,5506,Norman Powell,2595516,Norman Powell,1905196,Norman Powell,9500,Norman Powell,'03r7z,Norman Powell,1626181
1690,Caris LeVert,5651,Caris LeVert,2991043,Caris LeVert,2019069,Caris LeVert,9659,Caris LeVert,'042nf,Caris LeVert,1627747
2095,Luguentz Dort,6254,Luguentz Dort,4397020,Luguentz Dort,3041476,Luguentz Dort,17255,Luguentz Dort,'0527l,Luguentz Dort,1629652
2583,Jaime Jaquez Jr.,10092,Jaime Jaquez Jr.,4432848,Jaime Jaquez Jr.,3142048,Jaime Jaquez Jr.,111214,Jaime Jaquez Jr.,'06cbx,Jaime Jaquez,1631170
2301,Davion Mitchell,6551,Davion Mitchell,4278053,Davion Mitchell,2892012,Davion Mitchell,31038,Davion Mitchell,'05uij,Davion Mitchell,1630558
2119,Obi Toppin,6400,Obi Toppin,4278355,Obi Toppin,2892231,Obi Toppin,27591,Obi Toppin,'05qsx,Obi Toppin,1630167
2050,De'Andre Hunter,6166,De'Andre Hunter,4065732,De'Andre Hunter,2268641,De'Andre Hunter,17190,De'Andre Hunter,'051ok,DeAndre Hunter,1629631
2122,James Wiseman,6356,James Wiseman,4432808,James Wiseman,3142271,James Wiseman,27636,James Wiseman,'05qu1,James Wiseman,
1779,Malik Monk,5824,Malik Monk,4066262,Malik Monk,2355022,Malik Monk,13739,Malik Monk,'049kc,Malik Monk,1628370
1254,Dennis Schröder,5187,Dennis Schroder,3032979,Dennis Schroder,2067702,Dennis Schroder,9084,Dennis Schröder,'031m4,Dennis Schroder,203471
1604,Kelly Oubre Jr.,5475,Kelly Oubre Jr.,3133603,Kelly Oubre Jr.,2152518,Kelly Oubre Jr.,9526,Kelly Oubre Jr.,'03nwk,Kelly Oubre Jr.,1626162
